"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001626636","베르베르 씨, 오늘은 뭘 쓰세요?","베르나르 베르베르 지음","열린책들","2023","9788932923383","8","4"
"000001549687","별들이 흩어질 때","빅토리아 제이미슨","보물창고 : 푸른책들","2021","9788961708333","8","4"
"000000827325","봄철 한정 딸기 타르트 사건 =(The) special strawberry tart case","요네자와 호노부 [지음]","문학동네","2016","9788954640268","8","4"
"000000017364","부자 아빠 가난한 아빠 .1","로버트 기요사키","황금가지","2000","8982732365","3","4"
"000000681082","부자의 그릇 :돈을 다루는 능력을 키우는 법","이즈미 마사토 지음","다산3.0","2015","9791130604787","3","4"
"000000947557","북해에서의 항해 :포스트-매체 조건 시대의 미술","로절린드 크라우스 지음","현실문화연구: 현실문화A","2017","9788965641940","6","4"
"000001484826","불안한 엄마 무관심한 아빠 :오은영 박사의 불안감 없는 육아 동지 솔루션: 화내고 소리 지르고 후회하기를 반복하는 육아, 원인은 불안","오은영 지음","김영사","2021","9788934986690","5","4"
"000000086244","브라질에서 보물찾기","곰돌이 co. 글","아이세움","2009","9788937841989","9","4"
"000001234869","비만코드 :체중은 인슐린이 결정한다","제이슨 펑 지음","시그마북스","2018","9791189199500","5","4"
"000001629763","비욘드 더 스토리 =Beyond the story: 10-year record of BTS","강명석 글","빅히트뮤직","2023","9791198320902","6","4"
"000001509010","빨강, 파랑, 어쨌든 찬란 :케이시 맥퀴스턴 장편소설","케이시 맥퀴스턴 지음","살림: 살림출판사","2021","9788952242648","8","4"
"000001575414","사라진 여자들 :메리 쿠비카 장편소설","메리 쿠비카 지음","해피북스투유","2022","9791164797707","8","4"
"000000036553","사랑 후에 오는 것들","츠지 히토나리 지음","소담출판사","2007","8973818708","8","4"
"000001629776","사적이고 지적인 미술관 :당신이 지나친 미술사의 특별한 순간들 =Private and intellectual art gallery","이원율 지음","알에이치코리아(RHK)","2023","9788925576367","6","4"
"000001627915","산골 노승의 화려한 점심 :있으면 행복하고 없으면 자유로운 삶","향봉 지음","불광출판사","2023","9791192997209","2","4"
"000000154005","삼국지 경영학 :위대한 영웅들의 천하경영과 용인술","최우석 지음","을유문화사","2007","9788932471228","3","4"
"000001554750","삼국지를 한 번도 안 읽어볼 수는 없잖아 :열 번은 읽은 듯한 빠삭함!: 만화로 읽는 삼국지","Team. StoryG 지음","Old Stairs","2022","9791191156553","8","4"
"000000534762","상처받지 않는 영혼 :내면의 자유를 위한 놓아보내기 연습","마이클 A. 싱어 지음","라이팅하우스","2014","9788998075088","1","4"
"000001590643","상하이의 유대인 제국 :유대 기업은 현대 중국의 탄생에 어떻게 기여했나","조너선 카우프만 지음","생각의힘","2023","9791190955829","9","4"
"000001219259","서지학개론 =The introduction to bibliography","서지학개론 편찬위원회 지음","한울엠플레스: 한울아카데미","2004","9788946069954","0","4"
"000001629573","석세스리딩 :무일푼 청년을 억대 연봉 CEO로 만든 성공 독서법 =Success reading","가와기시 고지 지음","유노책주: 유노콘텐츠그룹","2023","9791192300702","0","4"
"000000158239","선인장 호텔","브렌다 기버슨 글","마루벌","2008","8956632006","8","4"
"000001570095","설민석의 세계사 대모험 .2 ,독일 편 : 히틀러의 두 얼굴","설민석","단꿈아이","2020","9791196893149","9","4"
"000001294973","성녀의 구제 :히가시노 게이고 장편 소설","히가시노 게이고 [지음]","재인","2009","9788990982360","8","4"
"000001589782","세계사 신박한 정리 :한 권으로 정리한 6,000년 인류사","박영규 지음","김영사","2022","9788934943426","9","4"
"000000013108","소크라테스 이전 철학자들의 단편 선집 =(The) Fragments of presocratic philosophers","탈레스...[등]지음","아카넷","2008","9788957330630","1","4"
"000001589940","손흥민 =Son Heungmin","강진희 글","다산어린이 : 다산북스","2022","9791130692609","9","4"
"000001620019","수학 탐정스 :수상한 수학 추리 동화 .5 ,할아버지의 진짜 유산은?","조인하 글","MiraeN아이세움: 미래엔","2023","9791168414983","4","4"
"000001570014","수해에서 살아남기","박송이 글","Mirae N 아이세움 : 미래엔","2022","9791168412286","4","4"
"000001515916","숲속 100층짜리 집","이와이 도시오 글?그림","북뱅크","2021","9788966351411","8","4"
"000001610038","슈퍼 드윕 .1 ,마법 연필을 지켜라!","제스 브래들리 글?그림","기린미디어","2022","9791192340050","8","4"
"000001570273","스위스 안락사 현장에 다녀왔습니다 :조력자살 한국인과 동행한 4박5일","신아연 지음","책과나무","2022","9791167521859","1","4"
"000000991069","스페인에서 보물찾기","곰돌이 co. 글","아이세움: 미래엔","2007","9788937842016","9","4"
"000001413604","슬로싱킹 :속도를 늦출수록 탁월해지는 생각의 힘 =Slow thinking","황농문 지음","위즈덤하우스","2020","9791191119640","1","4"
"000001519354","시간 고양이 :동물이 사라진 세계 : 박미연 장편동화","박미연 지음","이지북","2021","9788957070703","8","4"
"000000656019","시골 쥐의 서울 구경","방정환 외 지음","창비","2014","9788936414023","8","4"
"000000872684","신발 신은 강아지 =(A) dog wearing shoes","고상미 글?그림","위즈덤하우스: 스콜라","2016","9788962477290","8","4"
"000001303548","쓰레기 섬에서 살아남기","곰돌이co. 지음","미래엔(Mirae N): 아이세움","2019","9791164130832","4","4"
"000000918943","아내를 모자로 착각한 남자","올리버 색스 지음","알마(Alma)","2016","9791159920257","5","4"
"000000053862","아름다운 미래 행복짓는 사람들 :대한주택공사 47년의 발자취(1962-2009) .1 ,연혁편","대한주택공사 편","대한주택공사","2009","","3","4"
"000000001757","아메리칸 프로메테우스 :로버트 오펜하이머 평전","카이 버드","사이언스북스","2010","9788983711137","4","4"
"000000856979","악의 :히가시노 게이고 장편소설","히가시노 게이고 [지음]","현대문학","2008","9788972754190","8","4"
"000001627648","안전이별","인생학교 지음","OrangeD(오렌지디)","2023","9791192674636","1","4"
"000001627280","알아차림에 대한 알아차림 :내면소통』김주환 교수의 번역으로 만나는 알아차림 명상","루퍼트 스파이라 지음","퍼블리온","2023","9791191587418","1","4"
"000000048276","애크로이드 살인사건","애거서 크리스티 지음","해문출판사","2008","9788938201072","8","4"
"000001629781","약, 알고 먹는 거니? :그림으로 보는 우리 집 약국","최서연 지음","소담출판사","2023","9791160273137","5","4"
"000001511415","양순이네 떡집","김리리 글","비룡소","2021","9788949162102","8","4"
"000001629051","어느 대기업 임원의 퇴직일기 :별보다 찬란한 인생 2막","정경아 지음","알에이치코리아(RHK)","2023","9788925576312","5","4"
"000001557796","어른의 문해력 :나도 쓱 읽고 싹 이해하면 바랄 게 없겠네","김선영 지음","블랙피쉬 : 백도씨","2022","9788968333767","0","4"
"000001620034","어른의 어휘력 :말에 품격을 더하고 세상을 올바르게 이해하는 힘","유선경 지음","앤의서재","2023","9791190710589","8","4"
"000001460755","어리석은 자의 독 :우사미 마코토 장편소설","우사미 마코토 지음","블루홀식스","2020","9791189571399","8","4"
"000000647295","어린이 지식ⓔ .1 ,생명과 환경 편","EBS 지식채널ⓔ 제작팀 [지음]","이비에스미디어","2014","9788996953432","0","4"
"000000647296","어린이 지식ⓔ .2 ,경제의 이해 편","EBS 지식채널ⓔ 제작팀 [지음]","이비에스미디어","2014","9788996953456","0","4"
"000001610037","어쩔뚱땡! 고구마머리TV :호기심?상상력이 숙쑥 자라나는 과학학습만화 .2 ,우주 탐험 2","서동건 글","아울북 : 북이십일","2021","9788950996482","4","4"
"000001048720","언스크립티드 :부의 추월차선 완결판 .[3]","엠제이 드마코 지음","북새통: 토트","2018","9791187444213","3","4"
"000001571529","언어를 디자인하라 :아무 생각 없이 평생 써온 말이 당신 인생을 디자인해왔다!","유영만","쌤앤파커스","2022","9791165346010","8","4"
"000001570128","엉뚱한 문방구","간장 글?그림","제제의숲","2022","9791158732417","8","4"
"000001515446","에그박사 :자연 생물 관찰 만화 : egg&bugs .2","에그박사 원작","MiraeN 아이세움","2020","9791164136438","4","4"
"000001586519","에그박사 :자연 생물 관찰 만화 : egg&bugs .7","에그박사 원작","MiraeN 아이세움: 미래엔","2022","9791168412279","4","4"
"000001476756","에드워드 호퍼 :1882-1967 : 현실의 변모","롤프 귄터 레너 지음","마로니에북스","2020","9788960535923","6","4"
"000001619853","엔드게임 :나는 킬러다 [비디오녹화자료]","요효지 감독","미디어포유 [제작]","2023","","6","4"
"000001508754","여름이 온다","이수지 지음","비룡소","2021","9788949114118","8","4"
"000001051257","역시 빵이 좋아! :야마모토 아리 만화","야마모토 아리 [저]","이봄","2016","9791186195512","8","4"
"000000783533","오듀본의 기도","이사카 고타로 [지음]","민음사","2015","9788937431876","8","4"
"000001390058","오로라의 아이들","인그리 돌레르","비룡소","2020","9788949113906","8","4"
"000001619912","오스트리아 & 부다페스트 :영화 속 주인공이 되고 싶다! 음악과 낭만의 유럽 중심: 2023~2024 최신판 =Austria & Budapest","조대현 글?사진","해시태그출판사(Hashtag)","2023","9791192472942","9","4"
"000001589305","온리 도쿄 :트래블 가이드북 =Only Tokyo","재미리 저","부크크(Bookk)","2022","9791137269453","9","4"
"000000201501","왜 나는 너를 사랑하는가","알랭 드 보통 지음","청미래","2002","8986836084","8","4"
"000001619955","외계 고양이 클로드 .1 ,추방된 황제","조니 마르시아노","북스그라운드","2023","9791168340893","8","4"
"000001515889","요즘 애들 :최고 학력을 쌓고 제일 많이 일하지만 가장 적게 버는 세대","앤 헬렌 피터슨 지음","RHK(알에이치코리아)","2021","9788925579313","3","4"
"000000819963","욕망의 진화 :사랑, 연애, 섹스, 결혼 남녀의 엇갈린 욕망에 담긴 진실","데이비드 버스 [지음]","사이언스북스","2007","9788983712073","1","4"
"000001006902","용선생 만화 한국사 :나선애, 아라비아 상인 열라자를 만나다 .⑤ ,고려 시대 Ⅰ","이홍석","사회평론","2017","9788964359204","9","4"
"000001591426","우리가 운명이라고 불렀던 것들 :그 모든 우연이 모여 오늘이 탄생했다","슈테판 클라인 지음","포레스트북스 : 콘텐츠그룹 포레스트","2023","9791192625270","1","4"
"000001589404","우리는 각자의 세계가 된다 :뇌과학과 신경과학이 밝혀낸 생후배선의 비밀","데이비드 이글먼 지음","RHK(알에이치코리아)","2022","9788925577227","5","4"
"000001046547","운명의 해석, 사주명리 :예언에서 개입으로","안도균 지음","북드라망","2017","9791186851616","1","4"
"000001628904","위민 토킹 :미리엄 테이브스 장편소설","미리엄 테이브스 지음","은행나무","2023","9791167373045","8","4"
"000000709712","위험한 과학책 :지구 생활자들의 엉뚱한 질문에 대한 과학적 답변","랜들 먼로 지음","시공사","2015","9788952773326","4","4"
"000001473032","윔피 키드 .1 ,학교생활 일기","제프 키니 글?그림","MiraeN 아이세움 : 미래엔","2016","9788937838309","8","4"
"000001587311","윔피 키드 .17 ,똥 싸 기저귀 밴드의 수난 일기","제프 키니 글?그림","Mirae N 아이세움 : 미래엔","2022","9791168411975","8","4"
"000001619989","율리시즈의 시선 [비디오녹화자료]","테오도로스 앙겔로폴로스 감독","ART CINEMA Ent. [수입/제조]","2023","","6","4"
"000000024602","이기적 유전자 :진화론의 새로운 패러다임","리처드 도킨스 지음","을유문화사","2010","9788932471631","4","4"
"000001629534","이꼬이에 놀러 왔어요 :제주에서 만나는 정지원 셰프의 조식 이야기","정지원 지음","이꼬이","2023","9791198200310","5","4"
"000001629678","이다의 자연 관찰 일기 :일러스트레이터 이다와 함께 걷는 도시의 열두달","이다 지음","현암사","2023","9788932323084","4","4"
"000001612275","이미 시작된 전쟁 :북한은 왜 전쟁을 일으킬 수밖에 없는가","이철 지음","page2: 페이지2북스","2023","9791169850209","3","4"
"000001620116","이방인 [비디오녹화자료]","루키노 비스콘티 감독","ART CINEMA Ent. [수입/제조]","2023","","6","4"
"000001619813","이상한 나라의 수학자 [비디오녹화자료]","박동훈 감독","CJ ENM [공급]","2022","","6","4"
"000001475887","이토록 공부가 재미있어지는 순간 :공부에 지친 청소년들을 위한 힐링 에세이","박성혁 지음","다산북스","2020","9791130604626","3","4"
"000000024650","인간 등정의 발자취","제이콥 브로노우스키 지음","바다출판사","2010","9788955615036","4","4"
"000000557229","인간 실격","다자이 오사무 [저]","민음사","2004","9788937461033","8","4"
"000001300569","인간실격","다자이 오사무 [지음]","새움: 새움출판사","2018","9791189271121","8","4"
"000001350278","인간의 흑역사","톰 필립스 지음","윌북","2019","9791155812396","9","4"
"000001384465","인스타 브레인 :몰입을 빼앗긴 시대, 똑똑한 뇌 사용법","안데르스 한센 지음","동양북스","2020","9791157686179","5","4"
"000001359869","일곱 개의 회의 :이케이도 준 장편소설","이케이도 준 지음","비채 : 김영사","2020","9788934984559","8","4"
"000001473097","일본의 굴레 :헤이안 시대에서 아베 정권까지, 타인의 눈으로 안에서 통찰해낸 일본의 빛과 그늘","태가트 머피 지음","글항아리","2021","9788967358624","3","4"
"000000736296","읽는 인간 :노벨문학상 수상 작가 오에 겐자부로의 50년 독서와 인생","오에 겐자부로 지음","위즈덤하우스","2015","9788960868380","8","4"
"000000198625","잃어버린 시간을 찾아서 .1 ,스완네 집 쪽으로 1","마르셀 프루스트 [지음]","민음사","2012","9788937485619","8","4"
"000001222695","자기 앞의 생 :로맹 가리(에밀 아자르) 장편소설","로맹 가리 [지음]","문학동네","2018","9788954650700","8","4"
"000001619803","잘 그리기 금지 :쉽고 빠르게 그림 실력을 레벨 업 시키는 방법","사이토 나오키 지음","잼스푼 : 이종","2022","9788979293470","6","4"
"000001403135","잘 정리된 조문민법","곽낙규 편저","수북","2020","9791189446109","3","4"
"000001413091","장군이네 떡집","김리리 글","비룡소","2020","9788949162041","8","4"
"000001589616","장미의 이름","움베르토 에코 지음","열린책들","2022","9788932922973","8","4"
"000001589419","적당히 느슨하게 조금씩 행복해지는 습관 :우울증에 괴로워해 본 정신과 의사의 나를 바꾸지 않고도 삶을 바꾸는 40가지 멘탈 보호법","바쿠@정신과의 지음","부키","2023","9788960519657","1","4"
"000001619585","전국김밥일주 :죽기 전에 꼭 먹어봐야 할 김밥 맛집 136","정다현 지음","가디언","2023","9791167780782","5","4"
"000001628964","전쟁 같은 맛","그레이스 M. 조 지음","글항아리","2023","9791169091183","8","4"
"000001520464","절교 가위","신은영 글","마루비","2021","9791191917055","8","4"
"000000182742","제인 에어","Charlotte Bronte 원작","넥서스","2012","9788957979464","7","4"
"000001591189","조선 미술관 :풍속화와 궁중기록화로 만나는 문화 절정기 조선의 특별한 순간들","탁현규 지음","블랙피쉬: 백도씨","2023","9788968334177","6","4"
"000001505628","조지아 :비현실적인 풍경을 볼 수 있는 동유럽의 스위스 =Georgia","조대현 글?사진","해시태그출판사(Hashtag)","2020","9791191403152","9","4"
"000001629723","종소리 :닐 셔스터먼 장편소설","닐 셔스터먼 지음","열린책들","2023","9788932923062","8","4"
"000000941329","주식시장의 마법사들 :연평균 수익률 70%, 90%, 그리고 220% 시장을 이기는 마법을 찾아서!","잭 슈웨거 지음","이레미디어","2017","9791186588895","3","4"
"000001384692","죽은 자의 집 청소 :죽음 언저리에서 행하는 특별한 서비스","김완 지음","김영사","2020","9788934992493","3","4"
"000001303915","죽음 :베르나르 베르베르 장편소설 .2","베르나르 베르베르 지음","열린책들","2019","9788932919683","8","4"
"000001484849","중세 .1 ,암흑의 시대 중세를 살던 사람들의 이야기 : 910~1123. 10C~12C =The Middle Age","플로리앙 마젤 글","한빛비즈","2021","9791157845019","9","4"
"000000943782","증허락 :동화 장편소설 .1","동화 [지음]","파란썸: 파란미디어","2017","9788963713960","8","4"
"000000943781","증허락 :동화 장편소설 .2","동화 [지음]","파란썸: 파란미디어","2017","9788963713977","8","4"
"000001542690","지구는 괜찮아, 우리가 문제지 :곽재식의 기후 시민 수업","곽재식 지음","어크로스: 어크로스출판그룹","2022","9791167740342","5","4"
"000001557024","지극히 사적인 러시아 :일리야의 눈으로 '요즘 러시아' 읽기","벨랴코프 일리야 지음","틈새책방","2022","9791188949410","3","4"
"000001346094","지극히 사적인 프랑스 :프랑스인 눈으로 ''요즘 프랑스''읽기","오헬리엉 루베르","틈새책방","2019","9791188949182","3","4"
"000001522588","지속가능한 나이듦 :노년의 질병, 어떻게 대비할 것인가","정희원 지음","두리반","2021","9791188719167","3","4"
"000000825391","지적 대화를 위한 넓은 상식사전 :한 권으로 편안하게 즐기는 세상의 모든 토막상식","이대영 지음","별글","2016","9791186877180","0","4"
"000000850540","지지 않는 대화 :아리스토텔레스의 『변론술』에서 찾은 설득의 기술 =Aristotle's the art of rhetoric","다카하시 겐타로 지음","라이스메이커","2016","9791185392202","1","4"
"000001485692","지하철 사고에서 살아남기 .1 =Survival on the subway","곰돌이 co. 글","Mirae N 아이세움 : 미래엔","2020","9791164135608","4","4"
"000001485693","지하철 사고에서 살아남기 .2 =Survival on the subway","곰돌이 co. 글","Mirae N 아이세움 : 미래엔","2020","9791164136247","4","4"
"000001620103","직장인을 위한 챗GPT :업무 스킬업부터 자기 계발까지! 694개 ChatGPT 파워 프롬프트 가이드","이안 클레이턴 지음","한빛미디어","2023","9791169211048","0","4"
"000001628938","질적 연구의 자료 분석","Graham R. Gibbs 저","박영story : 피와이메이트","2022","9791165192976","0","4"
"000000995430","차의 시간 :인생을 생각하는 시간","마스다 미리 만화","이봄","2017","9791186195994","8","4"
"000000022880","차트박사의 승률 80% 新 매매기법 :실전 수익률게임대회 2회 우승으로 검증한","성경호 지음","이레미디어","2010","9788991998452","3","4"
"000001556115","참을 수 없이 불안할 때, 에리히 프롬 :내 안의 힘을 발견하는 철학 수업","박찬국 지음","21세기북스: 북이십일","2022","9788950902964","1","4"
"000001508377","채권각론","김상용 저","화산미디어","2021","9791159770517","3","4"
"000001610717","채권법 :이론?사례?판례","김준호 저","法文社","2023","9788918913506","3","4"
"000000380214","채권투자 하기 전에 꼭 알아야 할 것들 : 채권으로 돈 번 사람들만 아는 실전 투자비법","심기원","맛있는책","2013","9788993174366","3","4"
"000001629592","채소 식탁 :테이블민의 쉽고 맛있는 한 그릇 채소 덮밥, 면, 토스트, 김밥, 한입 요리 레시피","김경민 지음","래디시","2023","9791198129161","5","4"
"000000174143","책과 노니는 집","이영서 글","문학동네","2012","9788954607346","8","4"
"000001629058","챗GPT & Bard 질문법 :원하는 정보를 이끌어내는 프롬프트 엔지니어링","장대은 지음","문예춘추사","2023","9788976045973","0","4"
"000001626314","챗GPT :질문이 돈이 되는 세상: 이미 시작된 AI의 미래와 생존 전략","전상훈","미디어숲: 다빈치하우스","2023","9791158741907","3","4"
"000001591988","챗GPT 혁명 :산업과 투자의 지형을 뒤흔드는 인공지능의 진화","권기대 지음","베가북스","2023","9791192488271","3","4"
"000001619763","챗GPT+엑셀 업무자동화 정석 :상품기획부터 계약서 작성하여 보고자료까지~ 53가지 사례로 완성하는 ChatGPT","권현욱 지음","디지털북스","2023","9788960884243","0","4"
"000001611524","챗GPT4 제대로 알고 써먹자 :아빠가 아들에게 들려주는 챗GPT 이야기","이준호 지음","평단","2023","9788973435548","3","4"
"000001612241","챗GPT와 기획?분석?보고 :일주일 치 업무를 하루 만에 해치우는 일잘러의 ChatGPT 완벽 활용법","김철수 지음","위키북스","2023","9791158394295","0","4"
"000001554360","천 개의 뇌 :뇌의 새로운 이해 그리고 인류와 기계 지능의 미래","제프 호킨스 지음","이데아","2022","9791189143282","5","4"
"000001619846","천관사복 :묵향동후 장편소설 .1","묵향동후 지음","디앤씨미디어","2022","9791127864545","8","4"
"000001626282","천관사복 :묵향동후 장편소설 .3","묵향동후 지음","디앤씨미디어: B Lab","2022","9791127864569","8","4"
"000001629527","천관사복 :묵향동후 장편소설 .7","묵향동후 지음","B Lab: 디앤씨미디어","2022","9791127864606","8","4"
"000001629528","천관사복 :묵향동후 장편소설 .8","묵향동후 지음","B Lab: 디앤씨미디어","2022","9791127864613","8","4"
"000001629529","천관사복 :묵향동후 장편소설 .9","묵향동후 지음","B Lab: 디앤씨미디어","2022","9791127864620","8","4"
"000001372056","천룡팔부 :김용 대하역사무협 .3 ,첫눈에 반하다","김용 지음","김영사","2020","9788934991175","8","4"
"000001628971","초보자를 위한 살인 가이드 :로절린드 스톱스 장편소설","로절린드 스톱스 지음","문학동네","2023","9788954699211","8","4"
"000000003273","축의 시대 :종교의 탄생과 철학의 시작","카렌 암스트롱 [지음]","교양인","2011","9788991799561","2","4"
"000001628939","카페보다 더 맛있는 카페 음료 :기본부터 응용까지 : 카페 음료 컨설턴트에게 제대로 배우는 인기 레시피 109","김민정 지음","레시피팩토리","2023","9791192366241","5","4"
"000001312285","캡슐 마녀의 수리수리 약국","김소민 글","비룡소","2012","9788949161495","8","4"
"000001509137","케이크가 커졌어요!","구도 노리코 글?그림","책읽는곰","2021","9791158362515","8","4"
"000000298880","타오르는 어둠 속에서","안토니오 부에로 바예호 지음","문학과지성사","2002","9788932013039","8","4"
"000001620235","태양 왕 수바 :수박의 전설: 이지은 그림책","이지은 글?그림","웅진주니어 : 웅진씽크빅","2023","9788901271323","8","4"
"000001473008","태어났음의 불편함","에밀 시오랑 지음","현암사","2020","9788932320496","1","4"
"000000991068","터키에서 보물찾기","곰돌이 co. 글","아이세움: 미래엔","2007","9788937842009","9","4"
"000001236875","통계학 도감 :통계학은 과학의 문법이다! =The visual encyclopedia of statistics","쿠리하라 신이치","BM성안당","2018","9788931582598","4","4"
"000001582451","트랜스포머를 활용한 자연어 처리 :허깅페이스 개발팀이 알려주는 자연어 애플리케이션 구축","루이스 턴스톨","한빛미디어","2022","9791169210508","0","4"
"000000003057","파리대왕","윌리엄 골딩 지음","민음사","2010","9788937460197","8","4"
"000001629028","파이썬 텍스트 마이닝 완벽 가이드 :자연어 처리 기초부터 딥러닝 기반 BERT와 트랜스포머까지","박상언","위키북스","2023","9791158394226","0","4"
"000001627929","파이어키퍼의 딸","안젤린 불리 글","문학서재 : 동아엠앤비","2023","9791163636502","8","4"
"000001562872","파친코 :이민진 장편소설 .1","이민진 지음","인플루엔셜","2022","9791168340510","8","4"
"000001331918","팥빙수의 전설 :이지은 그림책","이지은 글?그림","웅진주니어 : 웅진씽크빅","2019","9788901232232","8","4"
"000000524317","패션의 역사 : 크리스티앙 디오르부터 마크 제이콥스까지 현대 패션의 모든 것","준 마시 지음","SIGONGART","2013","9788952770271","5","4"
"000001629012","팬 하나로 충분한 두 사람 식탁 :국가비 레시피북","국가비 글","달","2023","9791158161644","5","4"
"000001591993","폭설에서 살아남기","포도알친구 글","Mirae N 아이세움 : 미래엔","2022","9791168414143","4","4"
"000001349354","푸켓 :태국 전문가가 직접 만든 가이드북 : 2020-2021 최신판 =Phuket","김경진 [글]","나우출판사(Now)","2019","9791189553906","9","4"
"000001626922","풀스택 테스트 :10가지 테스트 기술의 기본 원칙과 전략","가야트리 모한 지음","한빛미디어","2023","9791169211093","0","4"
"000001582802","프로그래머를 위한 파이썬 :실전 프로젝트로 배우는 소프트웨어 개발의 원리와 정석","데인 할라드 지음","제이펍","2020","9791190665636","0","4"
"000001570056","프셉마음 :신규 간호사를 위한 진짜 실무 팁 .[21] ,혈액검사 해석 및 간호편","이재왕","드림널스","2022","9791192543062","5","4"
"000001519006","플루타르코스 영웅전 .3","플루타르코스 지음","을유문화사","2021","9788932474502","9","4"
"000001519007","플루타르코스 영웅전 .4","플루타르코스 지음","을유문화사","2021","9788932474519","9","4"
"000001610051","피아노의 시간 :100곡으로 듣는 위안과 매혹의 역사","수전 톰스 지음","더퀘스트: 길벗","2023","9791140703579","6","4"
"000001629743","하노이 :& 하롱베이, 사파: 베트남 전문가들이 모여 만든 가이드북: 2023~2024 최신판 =Hanoi & Halong Bay, Sapa","조대현 글?사진","해시태그출판사(Hashtag)","2023","9791192472799","9","4"
"000001488066","하버드 회복탄력성 수업 :우울, 불안, 번아웃, 스트레스에 무너지지 않는 멘탈 관리 프로젝트","게일 가젤 지음","현대지성","2021","9791166815782","1","4"
"000001626285","하하 자매 떡집","김리리 글","비룡소","2023","9788949162539","8","4"
"000000618033","학생가의 살인","히가시노 게이고 [지음]","재인","2014","9788990982544","8","4"
"000000510782","한여름의 방정식","히가시노 게이고 지음","재인","2014","9788990982513","8","4"
"000001311363","한자와 나오키 .1 ,당한 만큼 갚아준다","이케이도 준 [지음]","인플루엔셜","2019","9791189995096","8","4"
"000001399693","할머니의 용궁 여행","권민조 글?그림","천개의바람","2020","9791190077439","8","4"
"000001580250","핫하고 힙한 영국 :아주 오래 산 사람에게만 보이는 영국의 매력 : 영국은 어떻게 레트로 문화의 성지가 되었나","권석하 지음","유아이북스","2022","9791163220787","3","4"
"000001383702","해리 포터 :20years of Harry Potter magic .제6권 1 ,혼혈 왕자","J.K. 롤링 지음","문학수첩","2020","9788983927958","8","4"
"000001478802","해리 포터 :20years of Harry Potter magic .제7권 2 ,죽음의 성물","J.K. 롤링 지음","문학수첩","2020","9788983928085","8","4"
"000000731000","해리포터와 마법사의 돌 .제1권","J.K. 롤링 지음","문학수첩","2014","9788983925558","8","4"
"000000036023","해리포터와 비밀의 방 .제2권Ⅰ","조앤 K. 롤링 지음","문학수첩","2007","9788983920706","8","4"
"000000110429","행복에 걸려 비틀거리다","대니얼 길버트 지음","김영사","2008","9788934923220","1","4"
"000001512342","행복의 기원 :인간의 행복은 어디서 오는가: 생존과 번식, 행복은 진화의 산물이다","서은국 지음","21세기북스: 북이십일 21세기북스","2021","9788950995553","1","4"
"000001027841","행운에 속지 마라 :불확실한 시대에 살아남는 투자 생존법","나심 니콜라스 탈렙 [지음]","중앙일보플러스: 중앙books","2016","9788927808121","3","4"
"000001627698","헨리 키신저 리더십 :현대사를 만든 6인의 세계 전략 연구","헨리 앨프리드 키신저 지음","민음사","2023","9788937417153","3","4"
"000001590009","헬스는 쪼렙입니다만 :헬스 초보를 위한 기깔나는 오리엔테이션","수피 지음","한문화: 한문화멀티미디어","2023","9788956994413","5","4"
"000001619790","혁신에 대한 모든 것 :혁신은 어떻게 탄생하고, 작동하고, 성공하는가","매트 리들리 지음","청림출판","2023","9788935214136","3","4"
"000000964054","호모 데우스 :미래의 역사","유발 하라리 [지음]","김영사","2017","9788934977841","3","4"
"000001369978","호숫가 살인사건","히가시노 게이고 지음","RHK(알에이치코리아)","2019","9788925567198","8","4"
"000001295610","홋카이도 드라이브 여행 :비경, 미식 그리고 캠핑 =Hokkaido drive","불곰 지음","RHK(알에이치코리아)","2018","9788925564623","9","4"
"000000722721","화장품과학 =Cosmetic science","박면용 외 지음","녹문당","2015","9788988684825","5","4"
"000001589963","황당하지만 수학입니다 .3 ,어디가 제일 간지럽게?","남호영 글","와이즈만 Books","2023","9791190744829","4","4"
"000001474204","휴먼카인드 :감춰진 인간 본성에서 찾은 희망의 연대기","뤼트허르 브레흐만 지음","인플루엔셜","2021","9791191056471","9","4"
"000001525522","((한국전기설비규정(KEC)을 반영하여 새롭게 구성한) 김기사의 e-쉬운 전기 :올 컬러판 .[2] ,실무편 =Easy electricity","김명진 지음","BM성안당","2021","9788931526806","5","3"
"000001590943","(10대를 위한) 세계미래보고서 2035-2055 :새롭게 탄생할 미래 직업 ,직업탐구","박영숙","교보문고","2022","9791159098369","3","3"
"000001591235","(15년 만에 다시 쓴) 어? 성경이 읽어지네! .[2] ,신약(The new testament)","이애실 지음","성경방: 글로벌에듀포올피플(Global Edu for All People)","2018","9791195543786","2","3"
"000001508380","(16년 차 월급쟁이, 2년 만에 경제적 자유를 얻은) 실천 독서법","독서부자 낙숫물 지음","청림출판","2021","9788935213580","0","3"
"000000430428","(2011) 마음의 소리 .Ver.2","글 그림: 조석","코리아하우스콘텐츠","2011","9788993769609","6","3"
"000001517744","(21세기) 영양학 =Nutrition","최혜미 [외] 저","교문사","2021","9788936322076","5","3"
"000001570365","(A) history of Ukraine :a short course","[by] Oleksandr Palii","Mega-press-group","2017","9789669773203","9","3"
"000000295616","(An)inquiry into the nature and causes of the wealth of nations","Adam Smith","Oxford University Press","2008","9780199535927","8","3"
